Invoice No,PO No,Invoice Date,Supplier,Supplier Location,Department,Buyer,Item Code,Product Description,Unit,Quantity,Unit Price,Extended Amount,Discount Amount,Freight Amount,Tax Amount,Net Amount,Currency,Payment Terms
AP-202502-95641,,2/2/2025,US FOODS ATL DIV,"OH, USA",Bar,L. Davis,SALM-ATL,Salmon Fillet Atlantic (pack size varied),lb,298.98,9.75,2915.06,0.0,0.0,208.8,3123.86,USD,Due on Receipt
BILL-202509-82837,PO-707646,2025-09-06,BEN E. KEITH FOODS,"IL, USA",Kitchen,L. Davis,CHK-BRST-01,Chicken Breast Boneless Skinless   ,LB,10.78,3.01,32.45,0.0,0.0,0.45,32.9,USD,Due on Receipt
INV-202512-14600,PO-490460,12/25/2025,BALDOR SPECIALTY FOODS,"FL, USA",Restaurant,P. Wilson,OIL-OLV,Olive Oil Extra Virgin / chilled,gal,6.49,33.81,219.43,14.07,0.0,3.11,208.47,USD,Due on Receipt
INV-202511-50238,,2025-11-10,LOCAL FARM AND GARDEN LLC,"CA, USA",Housekeeping,A. Johnson,COFF-HSE,Coffee Beans House Blend,Lb,368.95,11.22,4139.62,0.0,4.62,217.75,4361.99,USD,Net 15
INV-202507-36626,PO-796608,7/5/2025,PFG Cust Dist,"PA, USA",Restaurant,A. Johnson,FLOUR-AP,FLOUR ALL PURPOSE (PACK SIZE VARIED),BAG,44,14.35,631.4,0.0,0.0,10.51,641.91,USD,Net 7
INV-202511-94031,PO-289866,2025-11-30,GFS,"IL, USA",Bakery,M. Carter,FLOUR-AP,Flour All Purpose (pack size varied),BG,24,22.19,532.56,0.0,0.0,33.41,565.97,USD,Due on Receipt
INV-202502-95760,PO-659662,02/07/2025,Shamrock Foods,"AZ, USA",Banquet,A. Johnson,FRIES-3/8, French Fries 3/8 Straight Cut,CS,17,23.1,392.7,3.53,4.12,2.04,395.33,USD,Net 30
INV-202506-15248,PO-300469,2025-06-21,FRESHPOINT PRODUCE,"CO, USA",Bakery,J. Brown,TRASH-55,Trash Bags 55 Gallon   ,CS,7,36.86,258.02,0.0,0.0,11.13,269.15,USD,Net 7
INV-202501-90360,PO-887658,01/08/2025,LOCAL FARM AND GARDEN LLC,"CA, USA",Housekeeping,J. Brown,FLOUR-AP,Flour All Purpose,BG,12,18.77,225.24,0.0,0.0,11.71,236.95,USD,Net 7
INV-202508-30524,PO-573270,08/31/2025,PFG Cust Dist,"FL, USA",Housekeeping,R. Smith,BACON-14,Bacon Sliced 14/18 ct / chilled,LBS,447.06,6.76,3022.13,0.0,0.0,232.84,3254.97,USD,Net 15
INV-202505-27557,PO-546004,2025-05-14,Gordon Food Svc,"NY, USA",Bar,P. Wilson,CREAM-HVY,Heavy Cream,QTR,57.43,3.46,198.71,0.0,0.0,13.6,212.31,USD,Net 15
BILL-202501-25407,,1/13/2025,Rest Depot,"PA, USA",Restaurant,L. Davis,SALM-ATL,Salmon Fillet Atlantic   ,LB,74.86,8.63,646.04,5.45,10.82,13.63,665.04,USD,Net 30
BILL-202511-13585,PO-845587,2025-11-03,Imperial Dade ,"IL, USA",Restaurant,R. Smith,BACON-14,Bacon Sliced 14/18 ct,LB,223.67,5.92,1324.13,0.0,8.28,26.29,1358.7,USD,Due on Receipt
BILL-202512-89866,,12/17/2025,BALDOR SPECIALTY FOODS,"GA, USA",Banquet,A. Johnson,KETCHUP,Ketchup / chilled,Case,12,21.51,258.12,0.0,9.74,11.23,279.09,USD,Due on Receipt
BILL-202501-77109,,01/12/2025,Baldor,"NC, USA",Kitchen,M. Carter,FLOUR-AP,Flour All Purpose,Bag,44,13.36,587.84,11.64,0.0,20.49,596.69,USD,Net 15
AP-202507-93079,PO-666114,07/19/2025,BALDOR SPECIALTY FOODS,"PA, USA",Banquet,J. Brown,AVO-HASS,Avocados Hass (pack size varied),cs,19,27.19,516.61,0.0,0.0,22.05,538.66,USD,Net 30
BILL-202507-53403,PO-988548,7/11/2025,Imperial Dade ,"GA, USA",Bakery,P. Wilson,BEEF-8020,Ground Beef 80/20 (pack size varied),LBS,118.57,4.28,507.48,0.0,0.0,15.53,523.01,USD,Net 30
BILL-202510-83770,PO-773397,2025-10-11,Sysco N. Florida,"NC, USA",Banquet,A. Johnson,BACON-14,BACON SLICED 14/18 CT,lb,140.43,6.0,842.58,13.08,0.0,16.42,845.92,USD,Net 7
AP-202510-84535,PO-909920,10/29/2025,Gordon Food Svc,"WA, USA",Kitchen,M. Carter,BACON-14,Bacon Sliced 14/18 ct,LB,326.48,5.93,1936.03,0.0,0.0,151.36,2087.39,USD,Net 30
AP-202504-92379,PO-725628,04/04/2025,LOCAL FARM AND GARDEN LLC,"GA, USA",Bakery,M. Carter,EGGS-LG,Eggs Large Grade A   ,DOZ,21,3.01,63.21,0.0,0.0,4.11,67.32,USD,Due on Receipt
AP-202508-59796,,8/19/2025,Local Farm & Garden,"OH, USA",Housekeeping,J. Brown,TRASH-55,Trash Bags 55 Gallon,Case,13,45.46,590.98,0.0,0.0,26.32,617.3,USD,Net 15
BILL-202508-36747,,8/6/2025,Local Farm & Garden,"TX, USA",Housekeeping,J. Brown,CHED-SHD,Cheddar Cheese Shredded  ,lb,383.64,3.86,1480.85,0.0,0.0,21.3,1502.15,USD,Net 7
BILL-202501-53691,PO-183495,1/5/2025,SHAMROCK FOODS CO,"CO, USA",Housekeeping,P. Wilson,GLOVE-M, Nitrile Gloves Medium - fresh,Case,7,34.79,243.53,0.0,0.0,4.36,247.89,USD,Due on Receipt
BILL-202501-86272,PO-512845,1/17/2025,Local Farm & Garden,"GA, USA",Bakery,R. Smith,OIL-OLV,Olive Oil Extra Virgin - fresh,GL,23.74,19.53,463.64,0.0,0.0,0.71,464.35,USD,Net 15
INV-202508-12610,PO-603946,8/17/2025,FRESHPOINT PRODUCE,"NY, USA",Restaurant,P. Wilson,GLOVE-M,Nitrile Gloves Medium (pack size varied),cs,28,37.93,1062.04,0.0,0.0,78.85,1140.89,USD,Net 15
INV-202505-44427,PO-877353,5/11/2025,Performance FS,"WA, USA",Banquet,L. Davis,EGGS-LG,Eggs Large Grade A,Dozen,50,2.59,129.5,0.0,0.0,0.37,129.87,USD,Net 15
INV-202506-41611,PO-243187,6/27/2025,Shamrock Foods,"AZ, USA",Banquet,M. Carter,EGGS-LG,Eggs Large Grade A - fresh,DOZ,14,3.04,42.56,0.0,0.0,0.99,43.55,USD,Due on Receipt
BILL-202502-97315,PO-402508,2025-02-02,SYSCO NORTH FLORIDA,"FL, USA",Banquet,P. Wilson,KETCHUP,Ketchup  ,cs,7,22.72,159.04,0.0,0.0,4.22,163.26,USD,Due on Receipt
AP-202512-38462,PO-943799,2025-12-09,US FOODS ATL DIV,"FL, USA",Restaurant,L. Davis,LETT-ROM,Lettuce Romaine   ,Case,44,20.82,916.08,0.0,0.0,40.61,956.69,USD,Net 15
BILL-202502-85667,PO-124621,02/22/2025,PERFORMANCE FOODSERVICE,"AZ, USA",Banquet,P. Wilson,RICE-LG,Long Grain Rice (pack size varied),BAG,38,23.48,892.24,0.0,0.0,61.63,953.87,USD,Net 7
AP-202508-93492,PO-771136,08/07/2025,BEN E. KEITH FOODS,"OH, USA",Cafe,M. Carter,TRASH-55,Trash Bags 55 Gallon,CS,26,43.68,1135.68,0.0,0.0,35.28,1170.96,USD,Due on Receipt
INV-202504-79673,PO-383555,2025-04-07,US FOODS ATL DIV,"AZ, USA",Cafe,J. Brown,CHK-BRST-01,CHICKEN BREAST BONELESS SKINLESS  ,Lb,-420.39,4.53,-1904.37,0.0,0.0,102.65,-1801.72,USD,Net 30
AP-202512-33601,PO-318478,12/29/2025,,"TX, USA",Kitchen,J. Brown,EGGS-LG,,DOZ,44,0.0,174.24,0.0,0.0,0.0,174.24,USD,Due on Receipt
BILL-202512-51684,PO-452576,12/23/2025,PERFORMANCE FOODSERVICE,"IL, USA",Cafe,M. Carter,GLOVE-M,Nitrile Gloves Medium,CS,5,48.33,241.65,0.0,0.0,8.68,250.33,USD,Due on Receipt
INV-202505-61535,PO-910263,05/01/2025,Baldor,"IL, USA",Bakery,R. Smith,CHK-BRST-01,Chicken Breast Boneless Skinless - fresh,LBS,469.7,3.12,1465.46,0.0,0.0,12.34,1477.8,USD,Net 15
AP-202510-36746,,2025-10-01,GFS,"NC, USA",Housekeeping,P. Wilson,EGGS-LG,Eggs Large Grade A,Dozen,8,2.8,22.4,12.32,11.99,0.18,22.25,USD,Net 30
AP-202503-38528,PO-807678,3/30/2025,,"CO, USA",Bakery,A. Johnson,CREAM-HVY,,QT,58.92,0.0,255.71,0.0,0.0,0.0,255.71,USD,Net 7
BILL-202505-98584,PO-468674,05/02/2025,PFG Customized,"IL, USA",Banquet,M. Carter,SUGAR-GR, SUGAR GRANULATED,BG,24,22.77,546.48,0.0,0.0,33.47,579.95,USD,Net 15
INV-202509-74256,PO-257923,9/2/2025,Imperial Dade ,"NY, USA",Kitchen,L. Davis,POT-RUS,Potatoes Russet,Lb,40.81,0.81,33.06,0.0,11.89,0.97,45.92,USD,Net 7
INV-202508-64238,PO-971031,08/20/2025,LOCAL FARM AND GARDEN LLC,"GA, USA",Banquet,P. Wilson,LETT-ROM,Lettuce Romaine  ,cs,45,21.31,958.95,3.65,0.0,22.4,977.7,USD,Net 30
INV-202509-46436,,09/13/2025,US FOODS ATL DIV,"WA, USA",Bakery,R. Smith,ONION-YEL,Onions Yellow  ,lb,78.65,0.98,77.08,0.0,8.48,0.14,85.7,USD,Net 7
AP-202501-98371,PO-808228,01/11/2025,Ben E. Keith Foods ,"TX, USA",Restaurant,M. Carter,BEEF-8020,Ground Beef 80/20,LB,327.28,3.68,1204.39,0.0,0.0,32.98,1237.37,USD,Net 15
BILL-202511-95947,PO-764036,11/26/2025,Performance FS,"TX, USA",Restaurant,R. Smith,OJ-100,ORANGE JUICE 100%  ,GAL,37.39,6.44,240.79,0.0,0.0,4.19,244.98,USD,Net 15
BILL-202511-88866,PO-664626,11/19/2025,PERFORMANCE FOODSERVICE,"AZ, USA",Banquet,L. Davis,MOZZ-WM,Mozzarella Whole Milk (pack size varied),LBS,172.9,4.98,861.04,0.0,0.0,4.82,865.86,USD,Net 30
INV-202512-57082,PO-776524,2025-12-24,Sysco N. Florida,"CO, USA",Restaurant,M. Carter,SALM-ATL,Salmon Fillet Atlantic,Lb,158.59,11.15,1768.28,0.0,0.0,16.64,1784.92,USD,Net 15
INV-202501-74038,PO-711085,01/28/2025,BALDOR SPECIALTY FOODS,"CA, USA",Housekeeping,R. Smith,AVO-HASS,Avocados Hass / chilled,Case,23,41.34,950.82,0.0,0.0,19.26,970.08,USD,Net 7
BILL-202501-68274,PO-576927,1/19/2025,SYSCO NFL,"NC, USA",Bakery,P. Wilson,OJ-100,Orange Juice 100% chef's line,GL,13.27,6.46,85.72,0.0,0.0,4.89,90.61,USD,Net 30
BILL-202508-84909,PO-425189,2025-08-14,RESTAURANT DEPOT,"CA, USA",Cafe,L. Davis,BROC-FRZ,Broccoli Florets Frozen - fresh,Case,10,23.64,236.4,0.0,0.0,10.94,247.34,USD,Net 30
INV-202512-96523,PO-283774,12/20/2025,Baldor,"AZ, USA",Housekeeping,A. Johnson,MOZZ-WM,Mozzarella Whole Milk / chilled,LB,19.21,5.13,98.55,0.0,0.0,0.3,98.85,USD,Net 30
AP-202512-44186,PO-869002,12/13/2025,Local Farm & Garden,"CO, USA",Bar,P. Wilson,KETCHUP,Ketchup - fresh,cs,28,19.62,549.36,0.0,0.0,25.75,575.11,USD,Net 7
BILL-202504-54130,PO-253714,04/08/2025,Local Farm & Garden,"IL, USA",Cafe,R. Smith,SUGAR-GR,SUGAR GRANULATED,BAG,6,19.39,116.34,6.89,0.0,3.47,112.92,USD,Net 7
AP-202505-59756,PO-475814,2025-05-20,BALDOR SPECIALTY FOODS,"IL, USA",Banquet,R. Smith,MILK-WHL,Milk Whole (pack size varied),GAL,63.1,3.97,250.51,0.0,2.42,13.67,266.6,USD,Net 30
INV-202512-41286,,12/31/2025,Ben E. Keith Foods ,"FL, USA",Restaurant,R. Smith,MOZZ-WM,Mozzarella Whole Milk,lb,294.43,4.91,1445.65,0.0,0.0,33.37,1479.02,USD,Net 30
BILL-202504-24133,,2025-04-12,Imperial Dade Inc,"CO, USA",Housekeeping,R. Smith,TRASH-55,Trash Bags 55 Gallon,Case,39,34.98,1364.22,0.0,0.0,101.04,1465.26,USD,Due on Receipt
BILL-202511-45564,PO-234474,11/4/2025,BALDOR SPECIALTY FOODS,"CO, USA",Bakery,P. Wilson,BEEF-8020,Ground Beef 80/20  ,Lb,417.93,5.81,2428.17,4.57,0.0,86.75,2510.35,USD,Net 7
AP-202502-61182,PO-968114,2025-02-03,Baldor,"PA, USA",Banquet,P. Wilson,SALM-ATL,Salmon Fillet Atlantic,Lb,391.64,9.63,3771.49,0.0,0.0,134.71,3906.2,USD,Due on Receipt
AP-202508-53647,PO-767798,08/27/2025,Shamrock Foods,"CO, USA",Kitchen,L. Davis,RICE-LG,Long Grain Rice / chilled,BG,35,17.71,619.85,0.0,0.0,8.21,628.06,USD,Net 7
BILL-202506-28442,PO-950311,2025-06-25,BEN E. KEITH FOODS,"GA, USA",Kitchen,A. Johnson,TOM-ROMA,Tomatoes Roma,Case,13,30.06,390.78,0.0,0.0,15.55,406.33,USD,Net 15
BILL-202501-51882,PO-218998,1/13/2025,PFG CUSTOMIZED DIST,"FL, USA",Kitchen,R. Smith,BROC-FRZ,Broccoli Florets Frozen,CS,5,15.31,76.55,0.0,0.0,1.56,78.11,USD,Net 30
INV-202502-23521,PO-261807,2/28/2025,PFG,"WA, USA",Bar,A. Johnson,SUGAR-GR,Sugar Granulated chef's line,BG,10,25.53,255.3,0.0,9.85,10.65,275.8,USD,Net 15
BILL-202511-59506,PO-423019,11/04/2025,IMPERIAL DADE,"WA, USA",Restaurant,M. Carter,OIL-OLV,OLIVE OIL EXTRA VIRGIN / CHILLED,GL,63.0,22.47,1415.61,0.0,0.68,85.42,1501.71,USD,Due on Receipt
BILL-202511-32063,PO-419980,11/02/2025,IMPERIAL DADE,"PA, USA",Banquet,A. Johnson,KETCHUP, Ketchup chef's line,Case,11,18.39,202.29,0.0,0.0,11.92,214.21,USD,Net 30
INV-202507-69127,PO-510644,07/31/2025,SYSCO NORTH FLORIDA,"AZ, USA",Kitchen,R. Smith,FLOUR-AP,Flour All Purpose chef's line,Bag,43,24.64,1059.52,0.0,0.0,49.73,1109.25,USD,Net 15
BILL-202512-50197,PO-791921,12/28/2025,PFG Cust Dist,"AZ, USA",Cafe,J. Brown,TOM-ROMA,Tomatoes Roma  ,CASE,21,32.54,683.34,0.0,0.0,51.57,734.91,USD,Due on Receipt
INV-202503-76621,PO-433455,03/31/2025,Rest Depot,"WA, USA",Banquet,A. Johnson,ONION-YEL,Onions Yellow,LB,391.53,0.93,364.12,0.0,0.0,8.5,372.62,USD,Net 15
BILL-202510-98889,PO-219604,10/15/2025,Sysco North Florida ,"WA, USA",Housekeeping,L. Davis,FLOUR-AP,FLOUR ALL PURPOSE  ,BAG,27,16.6,448.2,0.0,0.0,5.72,453.92,USD,Due on Receipt
BILL-202511-98547,PO-665312,2025-11-13,Shamrock Foods Co.,"WA, USA",Housekeeping,J. Brown,RICE-LG,Long Grain Rice   ,BAG,24,24.53,588.72,0.0,0.0,17.89,606.61,USD,Net 30
AP-202509-32923,PO-572094,2025-09-09,US FOODS ATLANTA,"TX, USA",Bakery,P. Wilson,CHK-BRST-01,Chicken Breast Boneless Skinless chef's line,LBS,300.99,4.34,1306.3,0.0,0.0,19.08,1325.38,USD,Due on Receipt
AP-202504-73940,PO-557043,4/27/2025,,"WA, USA",Kitchen,M. Carter,OJ-100,,GL,29.27,0.0,221.57,0.0,0.0,0.0,221.57,USD,Net 7
BILL-202506-24404,PO-716370,6/25/2025,Local Farm + Garden,"WA, USA",Bar,R. Smith,MOZZ-WM,Mozzarella Whole Milk   ,Lb,421.03,4.85,2042.0,0.0,0.0,133.71,2175.71,USD,Due on Receipt
INV-202507-41075,,07/04/2025,Baldor Specialty Foods ,"CO, USA",Cafe,M. Carter,BROC-FRZ,Broccoli Florets Frozen,cs,37,21.05,778.85,0.0,6.09,30.75,815.69,USD,Net 30
BILL-202501-14711,PO-639639,2025-01-22,Imperial Dade ,"PA, USA",Kitchen,L. Davis,RICE-LG,Long Grain Rice / chilled,BG,20,20.59,411.8,13.57,8.79,28.35,435.37,USD,Net 7
INV-202502-29868,PO-509352,2025-02-20,SYSCO NORTH FLORIDA,"WA, USA",Bar,A. Johnson,OIL-OLV,Olive Oil Extra Virgin - fresh,GL,55.91,21.43,1198.15,0.0,0.0,82.0,1280.15,USD,Net 15
AP-202501-37110,PO-818487,1/1/2025,Imperial Dade Inc,"OH, USA",Banquet,L. Davis,EGGS-LG,Eggs Large Grade A  ,Dozen,1,2.36,2.36,0.0,0.0,0.14,2.5,USD,Net 15
AP-202502-20532,PO-240000,02/22/2025,Local Farm & Garden,"WA, USA",Banquet,A. Johnson,COFF-HSE,COFFEE BEANS HOUSE BLEND,LB,81.37,9.72,790.92,0.0,0.0,40.01,830.93,USD,Net 15
AP-202510-14283,PO-634835,10/1/2025,Fresh Point Produce,"GA, USA",Cafe,M. Carter,SUGAR-GR,Sugar Granulated   ,Bag,2,28.44,56.88,0.0,0.0,3.22,60.1,USD,Net 15
BILL-202505-83228,PO-689367,5/9/2025,Local Farm + Garden,"NC, USA",Restaurant,J. Brown,TOM-ROMA,Tomatoes Roma   ,CS,18,18.83,338.94,0.0,0.0,7.1,346.04,USD,Net 15
AP-202511-76517,PO-972387,2025-11-21,Ben E. Keith Foods ,"WA, USA",Kitchen,A. Johnson,CREAM-HVY, Heavy Cream chef's line,QTR,66.9,5.01,335.17,0.0,0.0,7.52,342.69,USD,Due on Receipt
INV-202504-34032,PO-489584,04/14/2025,,"TX, USA",Banquet,L. Davis,GLOVE-M,,Case,45,0.0,1405.8,0.0,0.0,0.0,1405.8,USD,Net 30
BILL-202511-52533,PO-597424,2025-11-16,BEN E. KEITH FOODS,"PA, USA",Bakery,P. Wilson,BACON-14,Bacon Sliced 14/18 ct,LBS,15.61,6.68,104.27,10.62,4.33,6.16,104.14,USD,Net 15
INV-202504-24217,,4/16/2025,GFS,"GA, USA",Banquet,L. Davis,EGGS-LG,Eggs Large Grade A   ,DOZ,73,2.44,178.12,0.0,9.79,1.23,189.14,USD,Due on Receipt
INV-202503-39142,PO-193821,3/29/2025,,"IL, USA",Cafe,M. Carter,SUGAR-GR,,BAG,17,0.0,281.52,0.0,0.0,0.0,281.52,USD,Due on Receipt
BILL-202512-21925,,12/18/2025,GORDON FOOD SERVICE,"NC, USA",Bakery,M. Carter,POT-RUS,Potatoes Russet,Lb,191.37,0.42,80.38,0.0,0.0,5.91,86.29,USD,Net 7
AP-202504-28440,PO-497785,04/02/2025,SHAMROCK FOODS CO,"AZ, USA",Bar,L. Davis,POT-RUS,Potatoes Russet  ,Lb,10.58,0.45,4.76,0.0,0.0,0.35,5.11,USD,Net 30
BILL-202512-94571,,12/26/2025,BEN E. KEITH FOODS,"PA, USA",Cafe,A. Johnson,MILK-WHL,Milk Whole - fresh,GL,46.85,3.04,142.42,0.0,0.0,0.26,142.68,USD,Due on Receipt
AP-202504-26339,PO-820317,2025-04-25,LOCAL FARM AND GARDEN LLC,"CA, USA",Restaurant,P. Wilson,BEEF-8020,Ground Beef 80/20,lb,387.4,4.11,1592.21,0.0,0.0,111.26,1703.47,USD,Net 15
AP-202503-54782,PO-211116,2025-03-10,PFG Customized,"NY, USA",Housekeeping,A. Johnson,TOM-ROMA,Tomatoes Roma,cs,19,30.39,577.41,0.0,0.0,9.51,586.92,USD,Due on Receipt
AP-202503-61422,PO-195253,2025-03-22,Baldor,"FL, USA",Banquet,R. Smith,CHK-BRST-01,Chicken Breast Boneless Skinless chef's line,LB,197.72,3.41,674.23,0.0,0.0,16.57,690.8,USD,Net 15
INV-202509-18593,PO-602838,09/16/2025,Gordon Food Svc,"GA, USA",Restaurant,A. Johnson,BRRY-MIX,Mixed Berries Frozen  ,CASE,7,20.85,145.95,0.0,0.0,0.25,146.2,USD,Net 30
INV-202510-73850,PO-224258,2025-10-26,Ben E. Keith Foods ,"GA, USA",Bar,P. Wilson,FRIES-3/8,French Fries 3/8 Straight Cut / chilled,CS,28,19.72,552.16,0.0,0.0,27.62,579.78,USD,Net 30
BILL-202509-11671,PO-542970,2025-09-30,US FOODS ATL DIV,"IL, USA",Restaurant,L. Davis,BROC-FRZ,Broccoli Florets Frozen (pack size varied),Case,1,20.53,20.53,0.0,0.0,0.86,21.39,USD,Net 15
AP-202502-46236,PO-900338,02/04/2025,Rest Depot,"NY, USA",Bakery,A. Johnson,BROC-FRZ,Broccoli Florets Frozen,CASE,21,15.05,316.05,0.0,0.0,23.66,339.71,USD,Due on Receipt
BILL-202507-75835,PO-584564,7/6/2025,Local Farm & Garden,"PA, USA",Restaurant,R. Smith,AVO-HASS,Avocados Hass / chilled,CS,26,25.07,651.82,5.74,0.0,48.88,694.96,USD,Net 15
INV-202510-20153,,10/19/2025,FRESHPOINT PRODUCE,"CA, USA",Restaurant,M. Carter,FLOUR-AP,Flour All Purpose - fresh,BAG,6,15.33,91.98,0.0,0.0,6.41,98.39,USD,Due on Receipt
INV-202510-67520,PO-135716,10/29/2025,SHAMROCK FOODS CO,"CO, USA",Restaurant,J. Brown,BACON-14,Bacon Sliced 14/18 ct chef's line,LB,326.2,5.81,1895.22,8.82,0.0,63.44,1949.84,USD,Due on Receipt
INV-202508-42256,PO-453296,8/27/2025,Shamrock Foods Co.,"IL, USA",Restaurant,M. Carter,CHK-BRST-01,Chicken Breast Boneless Skinless - fresh,Lb,304.85,4.49,1368.78,0.0,0.0,16.49,1385.27,USD,Net 7
INV-202509-90881,PO-689482,9/26/2025,Sysco N. Florida,"PA, USA",Bakery,M. Carter,FRIES-3/8,French Fries 3/8 Straight Cut / chilled,cs,18,20.8,374.4,0.0,0.0,26.24,400.64,USD,Net 15
BILL-202502-83292,PO-233027,2025-02-27,BEN E. KEITH FOODS,"OH, USA",Banquet,R. Smith,RICE-LG,Long Grain Rice   ,BG,5,22.0,110.0,0.0,6.54,3.66,120.2,USD,Net 15
BILL-202510-85695,PO-186576,2025-10-29,PERFORMANCE FOODSERVICE,"AZ, USA",Bakery,A. Johnson,BROC-FRZ,Broccoli Florets Frozen chef's line,Case,33,18.05,595.65,0.0,0.0,42.08,637.73,USD,Due on Receipt
AP-202501-40600,PO-773615,01/23/2025,GFS,"TX, USA",Cafe,P. Wilson,CHED-SHD,Cheddar Cheese Shredded,LBS,462.94,4.74,2194.34,0.0,0.0,139.91,2334.25,USD,Net 7
INV-202506-96090,PO-339674,06/10/2025,IMPERIAL DADE,"NY, USA",Restaurant,R. Smith,ONION-YEL,Onions Yellow / chilled,LBS,192.68,0.97,186.9,10.67,0.0,4.5,180.73,USD,Net 15
AP-202510-95596,,10/29/2025,PFG Customized,"NC, USA",Bakery,A. Johnson,CHK-BRST-01,Chicken Breast Boneless Skinless   ,lb,-469.93,3.11,-1461.48,0.0,0.0,89.83,-1371.65,USD,Net 15
BILL-202506-56445,PO-696858,6/10/2025,Performance FS,"CA, USA",Bakery,J. Brown,TRASH-55,Trash Bags 55 Gallon (pack size varied),CASE,5,38.43,192.15,10.67,0.0,3.61,185.09,USD,Net 15
BILL-202502-37016,PO-274673,2/9/2025,Shamrock Foods Co.,"FL, USA",Kitchen,R. Smith,CHK-BRST-01,Chicken Breast Boneless Skinless,LBS,325.79,3.16,1029.5,5.46,0.0,52.41,1076.45,USD,Net 15
BILL-202508-41336,,8/20/2025,Baldor,"CA, USA",Bakery,J. Brown,AVO-HASS,Avocados Hass / chilled,cs,11,28.54,313.94,0.0,0.0,17.64,331.58,USD,Net 30
INV-202508-26315,PO-928159,08/12/2025,SYSCO NORTH FLORIDA,"NC, USA",Restaurant,L. Davis,COFF-HSE,Coffee Beans House Blend - fresh,Lb,139.43,8.46,1179.58,0.0,0.0,66.57,1246.15,USD,Net 7
BILL-202503-17862,PO-660774,2025-03-31,Sysco N. Florida,"GA, USA",Bakery,R. Smith,OJ-100,Orange Juice 100% - fresh,GAL,-9.88,6.49,-64.12,0.0,0.0,4.03,-60.09,USD,Net 15
INV-202508-86285,PO-663691,2025-08-28,Shamrock Foods,"WA, USA",Banquet,L. Davis,MILK-WHL,Milk Whole - fresh,gal,6.48,3.26,21.12,0.0,0.0,1.02,22.14,USD,Net 30
BILL-202502-12814,PO-103764,2/18/2025,Baldor Specialty Foods ,"NY, USA",Housekeeping,P. Wilson,FRIES-3/8,French Fries 3/8 Straight Cut,cs,33,18.82,621.06,0.0,0.0,36.65,657.71,USD,Net 30
BILL-202506-10250,,6/19/2025,FreshPoint,"IL, USA",Housekeeping,L. Davis,FRIES-3/8,French Fries 3/8 Straight Cut / chilled,CS,37,16.99,628.63,0.0,0.0,45.03,673.66,USD,Due on Receipt
AP-202501-38470,PO-778864,01/02/2025,Sysco North Florida ,"WA, USA",Restaurant,L. Davis,BEEF-8020,Ground Beef 80/20 chef's line,Lb,264.98,3.84,1017.52,7.59,0.0,64.56,1074.49,USD,Due on Receipt
BILL-202510-37743,PO-414397,2025-10-03,Local Farm + Garden,"AZ, USA",Restaurant,M. Carter,BACON-14,Bacon Sliced 14/18 ct chef's line,LB,360.99,3.98,1436.74,0.0,0.0,87.09,1523.83,USD,Net 15
BILL-202504-25743,PO-449026,04/30/2025,LOCAL FARM AND GARDEN LLC,"CO, USA",Bakery,R. Smith,CHED-SHD,Cheddar Cheese Shredded   ,Lb,169.06,3.38,571.42,0.0,0.0,23.18,594.6,USD,Due on Receipt
BILL-202503-83316,PO-586895,3/25/2025,Shamrock Foods,"CO, USA",Kitchen,L. Davis,SUGAR-GR,Sugar Granulated (pack size varied),BAG,15,28.72,430.8,0.0,3.34,15.71,449.85,USD,Due on Receipt
INV-202504-76229,PO-536390,04/27/2025,RESTAURANT DEPOT,"AZ, USA",Bakery,R. Smith,FRIES-3/8,French Fries 3/8 Straight Cut chef's line,CS,19,16.47,312.93,4.26,0.0,24.24,332.91,USD,Net 7
AP-202511-10379,PO-821373,2025-11-12,Imperial Dade Inc,"NY, USA",Kitchen,R. Smith,MILK-WHL,Milk Whole,GL,63.96,4.1,262.24,0.0,0.0,12.55,274.79,USD,Net 15
AP-202511-62290,PO-608630,2025-11-30,RESTAURANT DEPOT,"CO, USA",Bar,R. Smith,NAPKIN-DN,Napkins Dinner  ,cs,13,29.36,381.68,0.0,0.0,24.69,406.37,USD,Net 7
INV-202506-18650,PO-757768,6/24/2025,PFG CUSTOMIZED DIST,"OH, USA",Kitchen,P. Wilson,TRASH-55,Trash Bags 55 Gallon chef's line,cs,39,34.31,1338.09,0.0,0.0,73.61,1411.7,USD,Due on Receipt
BILL-202506-51221,PO-324455,06/12/2025,PFG,"NY, USA",Cafe,L. Davis,OJ-100,Orange Juice 100% / chilled,GL,10.41,8.15,84.84,0.0,0.0,3.29,88.13,USD,Net 7
AP-202502-53458,PO-571144,2/1/2025,SYSCO NORTH FLORIDA,"TX, USA",Cafe,M. Carter,CHK-BRST-01,Chicken Breast Boneless Skinless (pack size varied),LBS,96.41,4.46,429.99,0.0,0.0,28.44,458.43,USD,Net 30
BILL-202504-82031,PO-776327,04/23/2025,Baldor,"WA, USA",Kitchen,J. Brown,LETT-ROM,Lettuce Romaine  ,CS,19,28.88,548.72,0.0,0.0,1.41,550.13,USD,Due on Receipt
AP-202511-85270,PO-344855,2025-11-06,,"NY, USA",Cafe,P. Wilson,RICE-LG,,BG,7,0.0,168.07,0.0,0.0,0.0,168.07,USD,Net 15
